Rk,Player,Age,Pos,GP,G,A,PTS,+/-,PIM,EVG,PPG,SHG,GWG,EV,PP,SH,SOG,SPCT,TSA,TOI,ATOI,FOW,FOL,FO%,BLK,HIT,TAKE,GIVE,Awards,-9999
1,Nikita Kucherov ('20),26,RW,25,7,27,34,15,22,7,0,0,1,15,12,0,92,7.6,199,541:51:00,21:40,0,2,0,7,39,9,30,,kucheni01
2,Brayden Point ('20),23,C,23,14,19,33,12,10,10,4,0,3,16,3,0,68,20.6,110,472:26:00,20:32,213,156,57.7,13,21,15,9,,pointbr01
4,Ondřej Palát ('20),28,LW,25,11,7,18,14,10,8,3,0,3,5,2,0,80,13.8,135,522:45:00,20:55,7,16,30.4,22,76,15,16,,palaton01
1,Nikita Kucherov ('21),27,RW,23,8,24,32,6,14,4,4,0,0,9,15,0,62,12.9,115,420:45:00,18:18,0,0,,4,18,12,15,,kucheni01
2,Brayden Point ('21),24,C,23,14,9,23,7,8,7,7,0,3,4,5,0,49,28.6,83,435:12:00,18:55,140,128,52.2,5,21,13,10,,pointbr01
6,Ondřej Palát ('21),29,LW,23,5,8,13,8,10,5,0,0,2,8,0,0,42,11.9,75,375:38:00,16:20,3,16,15.8,23,68,8,14,,palaton01
2,Mikko Rantanen,25,RW,20,5,20,25,3,4,4,1,0,0,9,11,0,53,9.4,103,403:44:00,20:11,26,36,41.9,8,36,22,5,,rantami01
3,Nathan MacKinnon,26,C,20,13,11,24,11,8,7,6,0,0,8,3,0,117,11.1,194,428:12:00,21:25,139,154,47.4,12,28,14,13,,mackina01
4,Gabriel Landeskog,29,LW,20,11,11,22,15,6,6,5,0,1,7,4,0,56,19.6,101,419:15:00,20:58,135,95,58.7,22,63,18,16,,landega01
1,Jack Eichel,26,C,22,6,20,26,14,14,3,3,0,0,15,5,0,71,8.5,116,417:50:00,0.791666667,130,152,46.1,30,25,19,20,,eicheja01
2,Jonathan Marchessault,32,C,22,13,12,25,17,14,10,3,0,3,9,3,0,80,16.3,134,383:06:00,17:25,0,1,0,4,55,13,13,Smythe-1,audymjo01
5,Ivan Barbashev,27,C,22,7,11,18,14,18,6,1,0,1,10,1,0,32,21.9,59,342:18:00,15:34,23,19,54.8,11,64,10,13,,barbaiv01
1,Aleksander Barkov,28,C,24,8,14,22,-1,8,6,1,1,4,7,6,1,61,13.1,119,509:56:00,21:15,228,185,55.2,25,52,34,17,,barkoal01
3,Carter Verhaeghe,28,C,24,11,10,21,-5,20,7,4,0,3,9,1,0,79,13.9,166,464:01:00,19:20,15,29,34.1,14,27,11,16,,verhaca01
5,Sam Reinhart,28,C,24,10,6,16,-2,12,6,4,0,2,4,1,1,78,12.8,157,518:50:00,21:37,81,95,46,34,54,13,15,,reinhsa01
