Rk,Player,Age,Pos,GP,G,A,PTS,+/-,PIM,EVG,PPG,SHG,GWG,EV,PP,SH,SOG,SPCT,TSA,TOI,ATOI,FOW,FOL,FO%,BLK,HIT,TAKE,GIVE,Awards,-9999
5,Yanni Gourde ('20),28,C,25,7,7,14,12,19,5,2,0,2,7,0,0,54,13,90,457:45:00,18:19,127,166,43.3,8,49,16,10,,gourdya01
7,Blake Coleman ('20),28,C,25,5,8,13,6,31,5,0,0,0,8,0,0,65,7.7,113,447:08:00,17:53,2,2,50,12,126,13,12,,colembl01
12,Barclay Goodrow ('20),26,RW,25,1,5,6,5,16,1,0,0,0,5,0,0,32,3.1,57,456:15:00,18:15,93,112,45.4,31,103,13,9,,goodrba01
8,Blake Coleman ('21),29,C,23,3,8,11,5,22,2,0,1,1,8,0,0,45,6.7,73,371:45:00,16:10,1,0,100,16,83,14,9,,colembl01
12,Yanni Gourde ('21),29,C,23,6,1,7,4,13,5,0,1,2,0,0,1,45,13.3,71,404:38:00,17:36,140,160,46.7,10,27,18,10,,gourdya01
13,Barclay Goodrow ('21),27,RW,18,2,4,6,4,26,2,0,0,1,4,0,0,29,6.9,51,307:38:00,17:05,52,78,40,13,68,7,8,,goodrba01
10,André Burakovsky,26,LW,12,3,5,8,3,2,3,0,0,1,4,1,0,13,23.1,35,148:54:00,12:25,0,1,0,6,7,10,4,,burakan01
12,J.T. Compher,26,LW,20,5,3,8,-1,10,4,1,0,1,3,0,0,26,19.2,44,273:42:00,13:41,88,99,47.1,17,16,12,2,,comphj.01
23,Nicolas Aubé-Kubel,25,RW,14,0,0,0,2,4,0,0,0,0,0,0,0,16,0,29,145:14:00,10:22,2,4,33.3,6,49,1,2,,aubekni01
6,William Karlsson,30,C,22,11,6,17,11,2,10,1,0,1,5,1,0,45,24.4,75,381:49:00,17:21,168,141,54.4,20,15,24,14,,karlswi01
7,Reilly Smith,31,RW,22,4,10,14,9,14,2,2,0,1,7,3,0,51,7.8,74,368:57:00,16:46,0,1,0,17,32,17,16,,smithre01
9,Nicolas Roy,25,C,22,3,8,11,2,20,3,0,0,1,6,2,0,37,8.1,55,330:16:00,15:01,129,133,49.2,17,48,15,10,,royni01
4,Anton Lundell,22,C,24,3,14,17,8,12,3,0,0,0,11,3,0,29,10.3,87,388:57:00,16:12,160,146,52.3,17,44,15,19,,lundean01
10,Vladimir Tarasenko,32,RW,24,5,4,9,4,2,3,2,0,1,4,0,0,47,10.6,87,320:54:00,13:22,0,0,,19,46,3,14,,tarasvl01
11,Eetu Luostarinen,25,C,24,2,6,8,2,22,2,0,0,0,5,1,0,27,7.4,67,367:21:00,15:18,19,18,51.4,20,64,17,10,,luostee01
