Rk,Player,Age,Pos,GP,G,A,PTS,+/-,PIM,EVG,PPG,SHG,GWG,EV,PP,SH,SOG,SPCT,TSA,TOI,ATOI,FOW,FOL,FO%,BLK,HIT,TAKE,GIVE,Awards,-9999
1,Cale Makar,23,D,20,8,21,29,7,10,5,2,1,1,11,10,0,71,11.3,161,541:24:00,27:04:00,0,0,,43,28,24,13,Smythe-1,makarca01
2,Mikko Rantanen,25,RW,20,5,20,25,3,4,4,1,0,0,9,11,0,53,9.4,103,403:44:00,20:11,26,36,41.9,8,36,22,5,,rantami01
3,Nathan MacKinnon,26,C,20,13,11,24,11,8,7,6,0,0,8,3,0,117,11.1,194,428:12:00,21:25,139,154,47.4,12,28,14,13,,mackina01
4,Gabriel Landeskog,29,LW,20,11,11,22,15,6,6,5,0,1,7,4,0,56,19.6,101,419:15:00,20:58,135,95,58.7,22,63,18,16,,landega01
5,Devon Toews,27,D,20,5,10,15,5,8,5,0,0,0,8,2,0,44,11.4,84,517:37:00,25:53:00,0,0,,26,32,12,11,,toewsde01
6,Valeri Nichushkin,26,RW,20,9,6,15,6,8,8,1,0,2,6,0,0,72,12.5,108,405:18:00,20:16,0,0,,7,51,17,5,,nichuva01
7,Nazem Kadri,31,C,16,7,8,15,7,8,5,2,0,2,8,0,0,58,12.1,109,277:47:00,17:22,94,93,50.3,5,20,7,5,,kadrina01
8,Artturi Lehkonen,26,LW,20,8,6,14,2,20,6,2,0,4,5,1,0,43,18.6,74,342:11:00,17:07,1,7,12.5,20,48,9,3,,lehkoar01
9,Bowen Byram,20,D,20,0,9,9,15,10,0,0,0,0,8,1,0,44,0,78,387:10:00,19:22,0,0,,16,45,5,8,,byrambo01
10,André Burakovsky,26,LW,12,3,5,8,3,2,3,0,0,1,4,1,0,13,23.1,35,148:54:00,12:25,0,1,0,6,7,10,4,,burakan01
11,Josh Manson,30,D,20,3,5,8,6,12,3,0,0,1,5,0,0,39,7.7,83,343:42:00,17:11,0,0,,25,50,11,16,,mansojo01
12,J.T. Compher,26,LW,20,5,3,8,-1,10,4,1,0,1,3,0,0,26,19.2,44,273:42:00,13:41,88,99,47.1,17,16,12,2,,comphj.01
13,Andrew Cogliano,34,LW,16,3,3,6,5,16,2,0,1,2,2,0,1,16,18.8,21,155:08:00,9:42,1,0,100,12,8,1,2,,coglian01
14,Erik Johnson,33,D,20,1,4,5,10,4,1,0,0,0,4,0,0,30,3.3,68,340:12:00,17:01,0,0,,29,79,6,9,,johnser01
15,Darren Helm,35,C,20,2,3,5,3,12,2,0,0,1,3,0,0,28,7.1,48,231:31:00,11:35,90,105,46.2,7,97,7,1,,helmda01
16,Alex Newhook,21,C,12,0,4,4,0,4,0,0,0,0,3,1,0,7,0,19,128:33:00,10:43,8,24,25,10,5,1,6,,newhoal01
17,Logan O'Connor,25,RW,17,1,3,4,2,9,1,0,0,0,3,0,0,22,4.5,34,190:20:00,11:12,0,5,0,7,25,9,5,,oconnlo01
18,Samuel Girard,23,D,7,1,2,3,-1,0,1,0,0,0,1,1,0,14,7.1,25,125:50:00,17:59,0,0,,16,6,3,4,,girarsa01
19,Nico Sturm,26,C,13,0,2,2,2,2,0,0,0,0,2,0,0,9,0,15,109:46:00,8:27,12,27,30.8,9,27,3,2,,sturmni01
20,Darcy Kuemper,31,G,16,0,1,1,0,2,0,0,0,0,1,0,0,0,,0,886:53:00,55:26:00,0,0,,0,0,1,8,,kuempda01
21,Jack Johnson,35,D,13,0,0,0,1,10,0,0,0,0,0,0,0,3,0,8,144:22:00,11:06,0,0,,6,39,1,0,,johnsja02
22,Pavel Francouz,31,G,7,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,341:11:00,48:44:00,0,0,,0,0,1,1,,francpa01
23,Nicolas Aubé-Kubel,25,RW,14,0,0,0,2,4,0,0,0,0,0,0,0,16,0,29,145:14:00,10:22,2,4,33.3,6,49,1,2,,aubekni01
,Team Totals,,,20,85,137,222,103,175,63,20,2,16,101,35,1,781,10.9,1441,7287:56:00,19:02,596,650,47.8,309,759,195,141,,-9999
