Rk,Player,Age,Pos,GP,G,A,PTS,+/-,PIM,EVG,PPG,SHG,GWG,EV,PP,SH,SOG,SPCT,TSA,TOI,ATOI,FOW,FOL,FO%,BLK,HIT,TAKE,GIVE,Awards,-9999,Tm
12,Warren Foegele,26,LW,12,2,1,3,-2,16,2,0,0,0,1,0,0,27,7.4,48,142:23:00,11:52,0,0,,5,28,11,10,,foegewa01,EDM
17,Mattias Janmark,30,C,5,0,1,1,1,2,0,0,0,0,1,0,0,3,0,6,42:08:00,8:26,3,2,60,3,8,0,1,,janmama02,EDM
11,Adam Henrique,33,C,17,4,3,7,3,2,4,0,0,2,3,0,0,14,28.6,23,239:49:00,14:06,72,76,48.6,14,52,7,6,,henriad01,EDM
14,Connor Brown,30,RW,19,2,4,6,4,6,1,0,1,0,2,0,2,14,14.3,32,226:27:00,11:55,4,4,50,10,9,8,3,,brownco02,EDM
8,Mattias Janmark,31,C,25,4,4,8,6,12,2,0,2,1,4,0,0,22,18.2,41,298:27:00,11:56,0,4,0,6,23,6,6,,janmama02,EDM
17,Jake Evans,24,C,7,1,1,2,3,4,1,0,0,0,1,0,0,9,11.1,20,108:41:00,15:32,20,19,51.3,3,16,2,2,,evansja02,MTL
13,Paul Byron,31,LW,22,3,3,6,0,10,2,0,1,2,3,0,0,16,18.8,25,320:45:00,14:35,9,11,45,16,66,7,7,,byronpa01,MTL
14,Artturi Lehkonen,25,LW,17,3,1,4,-1,4,3,0,0,2,0,0,1,29,10.3,53,257:02:00,15:07,1,4,20,16,58,4,6,,lehkoar01,MTL
17,Leo Komarov,33,C,17,1,2,3,1,4,1,0,0,1,2,0,0,18,5.6,24,205:35:00,12:06,1,6,14.3,19,79,3,8,,komarle01,NYI
6,Jean-Gabriel Pageau,27,C,22,8,3,11,10,21,8,0,0,0,3,0,0,44,18.2,73,378:08:00,17:11,208,166,55.6,27,82,13,10,,pageaje01,NYI
24,Michael Dal Colle,23,LW,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,29:58:00,9:59,0,0,,1,5,1,1,,dalcomi01,NYI
7,Ryan McLeod,23,C,12,0,5,5,-1,2,0,0,0,0,5,0,0,9,0,23,175:15:00,14:36,64,53,54.7,4,26,2,7,,mcleory01,EDM
