Rk,Player,Age,Pos,GP,G,A,PTS,+/-,PIM,EVG,PPG,SHG,GWG,EV,PP,SH,SOG,SPCT,TSA,TOI,ATOI,FOW,FOL,FO%,BLK,HIT,TAKE,GIVE,Awards,-9999
1,Connor McDavid,26,C,12,8,12,20,-1,0,2,5,1,0,5,7,0,51,15.7,80,284:38:00,23:43,73,78,48.3,7,30,13,15,,mcdavco01
2,Leon Draisaitl,27,C,12,13,5,18,-1,10,7,6,0,0,3,2,0,45,28.9,82,277:39:00,23:08,120,98,55,10,26,7,17,,draisle01
3,Evan Bouchard,23,D,12,4,13,17,-4,4,0,4,0,2,2,11,0,29,13.8,83,276:01:00,23:00,0,0,,14,24,11,12,,bouchev01
4,Ryan Nugent-Hopkins,29,C,12,1,10,11,-6,4,1,0,0,0,1,9,0,23,4.3,47,241:32:00,20:08,19,24,44.2,6,14,4,4,,nugenry01
5,Zach Hyman,30,LW,12,3,8,11,1,12,1,2,0,1,3,5,0,46,6.5,59,227:40:00,18:58,0,0,,6,36,3,3,,hymanza01
6,Mattias Ekholm,32,D,12,1,6,7,0,8,1,0,0,0,5,1,0,20,5,45,262:37:00,21:53,0,0,,10,30,7,12,,ekholma01
7,Ryan McLeod,23,C,12,0,5,5,-1,2,0,0,0,0,5,0,0,9,0,23,175:15:00,14:36,64,53,54.7,4,26,2,7,,mcleory01
8,Klim Kostin,23,C,12,3,2,5,2,9,3,0,0,1,2,0,0,10,30,23,92:49:00,7:44,1,1,50,4,38,1,4,,kostikl01
9,Evander Kane,31,LW,12,3,2,5,-3,46,2,1,0,0,2,0,0,38,7.9,69,236:47:00,19:44,3,4,42.9,9,52,5,9,,kaneev01
10,Kailer Yamamoto,24,RW,12,1,3,4,-7,18,1,0,0,1,3,0,0,12,8.3,18,176:28:00,14:42,1,2,33.3,9,25,1,2,,yamamka01
11,Darnell Nurse,27,D,11,0,4,4,-2,21,0,0,0,0,3,1,0,21,0,44,253:19:00,23:02,0,0,,29,37,6,10,,nurseda01
12,Warren Foegele,26,LW,12,2,1,3,-2,16,2,0,0,0,1,0,0,27,7.4,48,142:23:00,11:52,0,0,,5,28,11,10,,foegewa01
13,Derek Ryan,36,C,11,1,2,3,3,0,1,0,0,0,2,0,0,19,5.3,30,130:11:00,11:50,7,11,38.9,3,11,5,0,,ryande01
14,Nick Bjugstad,30,C,12,3,0,3,-2,16,3,0,0,1,0,0,0,16,18.8,27,162:49:00,13:34,89,82,52,8,45,7,1,,bjugsni01
15,Brett Kulak,29,D,12,1,1,2,3,9,1,0,0,0,1,0,0,19,5.3,35,196:16:00,16:21,0,0,,19,12,3,3,,kulakbr01
16,Vincent Desharnais,26,D,12,0,2,2,-3,8,0,0,0,0,2,0,0,6,0,13,163:04:00,13:35,0,0,,14,18,4,6,,deshavi01
17,Mattias Janmark,30,C,5,0,1,1,1,2,0,0,0,0,1,0,0,3,0,6,42:08:00,8:26,3,2,60,3,8,0,1,,janmama02
18,Cody Ceci,29,D,12,0,1,1,-5,2,0,0,0,0,1,0,0,14,0,30,227:42:00,18:59,0,0,,29,26,1,6,,cecico01
19,Jack Campbell,31,G,4,0,0,0,,0,0,0,0,0,0,0,0,0,,0,118:16:00,29:34:00,0,0,,0,0,0,0,,campbja01
20,Philip Broberg,21,D,9,0,0,0,3,4,0,0,0,0,0,0,0,3,0,8,61:57:00,6:53,0,0,,2,5,0,3,,brobeph01
21,Stuart Skinner,24,G,12,0,0,0,0,2,0,0,0,0,0,0,0,0,,0,618:57:00,51:35:00,0,0,,0,0,2,11,,skinnst01
,Team Totals,,,12,44,78,122,-24,197,25,18,1,6,42,36,0,411,10.7,770,4368:28:00,18:50,380,355,51.7,191,491,93,136,,-9999
