Rk,Player,Age,Pos,GP,G,A,PTS,+/-,PIM,EVG,PPG,SHG,GWG,EV,PP,SH,SOG,SPCT,TSA,TOI,ATOI,FOW,FOL,FO%,BLK,HIT,TAKE,GIVE,Awards,-9999
1,Aleksander Barkov,28,C,24,8,14,22,-1,8,6,1,1,4,7,6,1,61,13.1,119,509:56:00,21:15,228,185,55.2,25,52,34,17,,barkoal01
2,Matthew Tkachuk,26,LW,24,6,16,22,0,31,6,0,0,2,10,6,0,83,7.2,150,443:53:00,18:30,0,2,0,10,72,9,20,,tkachma01
3,Carter Verhaeghe,28,C,24,11,10,21,-5,20,7,4,0,3,9,1,0,79,13.9,166,464:01:00,19:20,15,29,34.1,14,27,11,16,,verhaca01
4,Anton Lundell,22,C,24,3,14,17,8,12,3,0,0,0,11,3,0,29,10.3,87,388:57:00,16:12,160,146,52.3,17,44,15,19,,lundean01
5,Sam Reinhart,28,C,24,10,6,16,-2,12,6,4,0,2,4,1,1,78,12.8,157,518:50:00,21:37,81,95,46,34,54,13,15,,reinhsa01
6,Evan Rodrigues,30,C,24,7,8,15,6,4,5,2,0,1,7,1,0,44,15.9,86,352:56:00,14:42,54,44,55.1,10,54,14,8,,rodriev01
7,Sam Bennett,27,C,19,7,7,14,-1,12,6,1,0,1,4,3,0,38,18.4,106,305:10:00,16:04,54,51,51.4,5,87,7,13,,bennesa01
8,Gustav Forsling,27,D,24,4,9,13,9,12,4,0,0,1,8,0,1,51,7.8,123,562:00:00,23:25,0,0,,30,44,21,14,,forslgu02
9,Brandon Montour,29,D,24,3,8,11,0,12,1,1,1,0,6,2,0,48,6.3,122,543:54:00,22:40,0,0,,36,48,14,17,,montobr01
10,Vladimir Tarasenko,32,RW,24,5,4,9,4,2,3,2,0,1,4,0,0,47,10.6,87,320:54:00,13:22,0,0,,19,46,3,14,,tarasvl01
11,Eetu Luostarinen,25,C,24,2,6,8,2,22,2,0,0,0,5,1,0,27,7.4,67,367:21:00,15:18,19,18,51.4,20,64,17,10,,luostee01
12,Oliver Ekman-Larsson,32,D,24,2,4,6,1,24,2,0,0,0,0,4,0,27,7.4,85,370:36:00,15:27,0,0,,18,65,3,5,,ekmanol01
13,Aaron Ekblad,27,D,24,1,5,6,4,16,1,0,0,0,4,0,1,33,3,79,541:09:00,22:33,0,0,,48,71,2,26,,ekblaaa01
14,Niko Mikkola,27,D,24,2,2,4,4,22,2,0,0,0,2,0,0,23,8.7,42,447:34:00,18:39,0,0,,29,61,4,19,,mikkoni01
15,Steven Lorentz,27,C,16,2,1,3,-1,0,2,0,0,1,1,0,0,7,28.6,19,113:52:00,7:07,26,36,41.9,4,40,4,4,,lorenst01
16,Dmitry Kulikov,33,D,24,0,2,2,-1,16,0,0,0,0,2,0,0,15,0,41,333:59:00,13:55,0,0,,25,56,7,9,,kulikdm01
17,Kyle Okposo,35,RW,17,0,2,2,-1,10,0,0,0,0,2,0,0,16,0,31,145:27:00,8:33,6,9,40,9,52,2,2,,okposky01
18,Kevin Stenlund,27,C,24,0,1,1,-3,8,0,0,0,0,1,0,0,16,0,39,270:36:00,11:17,118,111,51.5,11,49,11,4,,stenlke01
19,Nick Cousins,30,C,12,0,1,1,-1,20,0,0,0,0,1,0,0,9,0,23,104:20:00,8:42,0,2,0,9,18,5,2,,cousini01
20,Sergei Bobrovsky,35,G,24,0,1,1,0,0,0,0,0,0,1,0,0,0,,0,1419:32:00,59:09:00,0,0,,0,0,1,19,,bobrose01
21,Ryan Lomberg,29,LW,8,0,0,0,-2,10,0,0,0,0,0,0,0,11,0,17,58:45:00,7:21,1,0,100,3,31,0,2,,lombery01
22,Anthony Stolarz,30,G,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,34:50:00,34:50:00,0,0,,0,0,0,0,,stolaan01
,Team Totals,,,24,73,121,194,20,281,56,15,2,16,89,28,4,742,9.8,1646,8618:32:00,18:52,762,728,51.1,376,1035,197,255,,-9999
