Rk,Player,Age,Pos,GP,G,A,PTS,+/-,PIM,EVG,PPG,SHG,GWG,EV,PP,SH,SOG,SPCT,TSA,TOI,ATOI,FOW,FOL,FO%,BLK,HIT,TAKE,GIVE,Awards,-9999
1,Nick Suzuki,21,C,22,7,9,16,-6,2,5,2,0,1,5,4,0,53,13.2,84,416:12:00,18:55,150,178,45.7,19,53,19,15,,suzukni01
2,Tyler Toffoli,28,C,22,5,9,14,-6,6,3,1,1,2,5,4,0,49,10.2,79,391:27:00,17:48,10,7,58.8,9,37,11,10,,toffoty01
3,Cole Caufield,20,RW,20,4,8,12,-5,0,2,2,0,0,7,1,0,48,8.3,87,304:43:00,15:14,0,0,,4,7,8,16,,caufico01
4,Corey Perry,35,RW,22,4,6,10,-5,25,2,2,0,1,4,2,0,30,13.3,58,305:54:00,13:54,0,0,,17,23,5,10,,perryco01
5,Joel Armia,27,RW,21,5,3,8,-1,10,3,0,2,0,2,0,1,40,12.5,58,287:24:00,13:41,8,14,36.4,5,55,19,8,,armiajo01
6,Eric Staal,36,C,21,2,6,8,-2,6,2,0,0,1,6,0,0,21,9.5,37,241:55:00,11:31,74,93,44.3,5,17,5,7,,staaler01
7,Jesperi Kotkaniemi,20,C,19,5,3,8,-5,14,5,0,0,1,3,0,0,28,17.9,51,260:25:00,13:42,76,78,49.4,9,35,5,9,,kotkaje01
8,Shea Weber,35,D,22,1,5,6,4,28,0,1,0,0,2,1,2,48,2.1,100,554:54:00,25:13:00,0,0,,40,72,5,29,,webersh01
9,Josh Anderson,26,RW,22,5,1,6,-1,12,5,0,0,2,1,0,0,50,10,90,319:06:00,14:30,8,6,57.1,8,87,4,3,,anderjo05
10,Jeff Petry,33,D,20,0,6,6,-2,6,0,0,0,0,4,2,0,36,0,79,481:17:00,24:04:00,0,0,,31,51,6,36,,petryje01
11,Brendan Gallagher,28,RW,22,2,4,6,0,4,1,1,0,1,4,0,0,52,3.8,96,322:53:00,14:41,6,11,35.3,11,47,10,10,,gallabr01
12,Joel Edmundson,27,D,22,0,6,6,-3,10,0,0,0,0,5,0,1,23,0,53,514:35:00,23:23,0,0,,30,65,4,27,,edmunjo01
13,Paul Byron,31,LW,22,3,3,6,0,10,2,0,1,2,3,0,0,16,18.8,25,320:45:00,14:35,9,11,45,16,66,7,7,,byronpa01
14,Artturi Lehkonen,25,LW,17,3,1,4,-1,4,3,0,0,2,0,0,1,29,10.3,53,257:02:00,15:07,1,4,20,16,58,4,6,,lehkoar01
15,Phillip Danault,27,C,22,1,3,4,-1,6,1,0,0,0,3,0,0,39,2.6,61,416:30:00,18:56,273,231,54.2,24,38,9,14,,danauph01
16,Erik Gustafsson,28,D,16,1,2,3,3,0,0,1,0,0,1,1,0,8,12.5,22,160:06:00,10:00,0,0,,4,8,1,11,,gustaer02
17,Jake Evans,24,C,7,1,1,2,3,4,1,0,0,0,1,0,0,9,11.1,20,108:41:00,15:32,20,19,51.3,3,16,2,2,,evansja02
18,Ben Chiarot,29,D,22,1,1,2,-6,16,1,0,0,0,1,0,0,33,3,65,555:29:00,25:15:00,0,0,,48,88,7,38,,chiarbe01
19,Brett Kulak,27,D,13,0,1,1,-4,4,0,0,0,0,1,0,0,11,0,24,167:17:00,12:52,0,0,,6,12,3,6,,kulakbr01
20,Alexander Romanov,21,D,4,1,0,1,-2,0,1,0,0,0,0,0,0,3,33.3,8,49:37:00,12:24,0,0,,5,8,0,3,,romanal01
21,Tomáš Tatar,30,LW,5,0,1,1,-2,2,0,0,0,0,1,0,0,3,0,9,69:44:00,13:57,3,1,75,0,17,0,0,,tatarto01
22,Jonathon Merrill,28,D,13,0,0,0,-4,0,0,0,0,0,0,0,0,6,0,13,167:35:00,12:53,0,0,,23,11,1,13,,merrijo01
23,Carey Price,33,G,22,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1341:38:00,60:59:00,0,0,,0,0,8,17,,priceca01
,Team Totals,,,22,51,79,130,-46,173,37,10,4,13,59,15,5,635,8,1172,8015:09:00,19:11,638,653,49.4,333,871,143,297,,-9999
