Player,No.,Birth,Pos,Age,Ht,Wt,S/C,Exp,Birth Date,Summary,Player-additional
Josh Archibald,45,ca CA,RW,24,10-May,176,R/-,1,October 6 1992,3 G 0 A 3 P,archijo01
Nick Bonino,13,us US,C,28,1-Jun,195,L/-,7,April 20 1988,18 G 19 A 37 P,boninni01
Ian Cole,28,us US,D,27,1-Jun,225,L/-,6,February 21 1989,5 G 21 A 26 P,coleia01
Mike Condon,1,us US,G,26,2-Jun,195,-/-,1,April 27 1990,0-0-0 0.00 GAA,condomi01
Frank Corrado,20,ca CA,D,23,Jun-00,205,R/-,4,March 26 1993,0 G 0 A 0 P,corrafr01
Sidney Crosby (C),87,ca CA,C,29,11-May,200,L/-,11,August 7 1987,44 G 45 A 89 P,crosbsi01
Matt Cullen,7,us US,C,40,1-Jun,202,L/-,18,November 2 1976,13 G 18 A 31 P,cullema01
Trevor Daley,6,ca CA,D,33,11-May,199,L/-,12,October 9 1983,5 G 14 A 19 P,daleytr01
Jean-Sébastien Dea,39,ca CA,C,22,11-May,174,R/-,R,February 8 1994,0 G 0 A 0 P,deaje01
Brian Dumoulin,8,us US,D,25,4-Jun,207,L/-,3,September 6 1991,1 G 14 A 15 P,dumoubr01
Eric Fehr,16,ca CA,C,31,4-Jun,209,R/-,11,September 7 1985,6 G 5 A 11 P,fehrer01
Marc-André Fleury,29,ca CA,G,32,2-Jun,185,-/L,12,November 28 1984,18-10-7 3.02 GAA,fleurma01
Cameron Gaunce,24,ca CA,D,26,1-Jun,210,L/-,2,March 19 1990,1 G 3 A 4 P,gauncca01
Jake Guentzel,59,us US,C,22,11-May,178,L/-,R,October 6 1994,16 G 17 A 33 P,guentja01
Carl Hagelin,62,se SE,LW,28,11-May,183,L/-,5,August 23 1988,6 G 16 A 22 P,hagelca01
Ron Hainsey,65,us US,D,35,3-Jun,205,L/-,13,March 24 1981,0 G 3 A 3 P,hainsro01
Patric Hörnqvist,72,se SE,RW,30,11-May,189,R/-,8,January 1 1987,21 G 23 A 44 P,hornqpa01
Tristan Jarry,35,ca CA,G,21,2-Jun,194,-/L,R,April 29 1995,0-1-0 3.06 GAA,jarrytr01
Phil Kessel,81,us US,RW,29,11-May,208,R/-,10,October 2 1987,23 G 47 A 70 P,kesseph01
Tom Kühnhackl,34,de DE,RW,25,2-Jun,190,L/-,1,January 21 1992,4 G 12 A 16 P,kuhnhto01
Chris Kunitz,14,ca CA,LW,37,Jun-00,188,L/-,12,September 26 1979,9 G 20 A 29 P,kunitch01
Kris Letang,58,ca CA,D,29,Jun-00,201,R/-,10,April 24 1987,5 G 29 A 34 P,letankr01
Olli Määttä,3,fi FI,D,22,2-Jun,207,L/-,3,August 22 1994,1 G 6 A 7 P,maattol01
Evgeni Malkin,71,su SU,C,30,3-Jun,195,L/-,10,July 31 1986,33 G 39 A 72 P,malkiev01
Matt Murray,30,ca CA,G,22,5-Jun,220,-/L,1,May 25 1994,32-10-4 2.41 GAA,murrama02
Steven Oleksy,61,us US,D,30,11-May,188,R/-,3,February 4 1986,0 G 1 A 1 P,oleksst01
Kevin Porter,11,us US,C,30,Jun-00,190,L/-,7,March 12 1986,0 G 0 A 0 P,porteke01
