Rk,Player,Age,Pos,GP,G,A,PTS,+/-,PIM,EVG,PPG,SHG,GWG,EV,PP,SH,SOG,SPCT,TSA,TOI,ATOI,FOW,FOL,FO%,BLK,HIT,TAKE,GIVE,Awards,-9999
1,Josh Bailey,30,C,22,2,18,20,8,0,1,0,1,1,12,6,0,31,6.5,59,422:39:00,19:13,4,15,21.1,10,29,8,21,,bailejo01
2,Brock Nelson,28,C,22,9,9,18,4,12,8,1,0,3,7,1,1,57,15.8,89,425:35:00,19:21,181,162,52.8,12,38,23,21,,nelsobr01
3,Mathew Barzal,22,C,22,5,12,17,2,10,4,1,0,1,8,4,0,53,9.4,99,445:48:00,20:16,92,104,46.9,15,19,14,26,,barzama01
4,Anthony Beauvillier,22,LW,22,9,5,14,6,10,7,2,0,3,3,2,0,67,13.4,124,408:08:00,18:33,0,2,0,11,37,13,22,,beauvan01
5,Jordan Eberle,29,RW,22,5,9,14,2,10,3,2,0,2,6,3,0,53,9.4,107,415:49:00,18:54,1,5,16.7,13,25,12,21,,eberljo01
6,Jean-Gabriel Pageau,27,C,22,8,3,11,10,21,8,0,0,0,3,0,0,44,18.2,73,378:08:00,17:11,208,166,55.6,27,82,13,10,,pageaje01
7,Anders Lee,29,LW,22,7,4,11,4,15,4,3,0,0,3,1,0,72,9.7,106,400:10:00,18:11,38,43,46.9,11,58,6,12,,leean01
8,Ryan Pulock,25,D,22,2,8,10,-1,6,0,2,0,0,7,1,0,45,4.4,99,499:25:00,22:42,0,0,,58,54,2,18,,pulocry01
9,Devon Toews,25,D,22,2,8,10,3,6,2,0,0,0,5,3,0,20,10,68,450:51:00,20:30,0,0,,38,23,4,18,,toewsde01
10,Derick Brassard,32,C,18,2,6,8,1,6,2,0,0,0,5,1,0,34,5.9,56,222:03:00,12:20,37,36,50.7,4,39,10,10,,brassde01
11,Nick Leddy,28,D,22,3,4,7,7,0,2,1,0,0,2,2,0,26,11.5,75,474:32:00,21:34,0,0,,41,37,4,19,,leddyni01
12,Matt Martin,30,LW,22,5,1,6,0,28,5,0,0,0,1,0,0,28,17.9,37,239:33:00,10:53,1,1,50,17,103,5,3,,martima02
13,Adam Pelech,25,D,21,1,4,5,6,8,1,0,0,0,4,0,0,23,4.3,66,471:04:00,22:26,0,0,,44,67,10,18,,pelecad01
14,Scott Mayfield,27,D,22,1,4,5,12,12,1,0,0,1,4,0,0,26,3.8,76,452:12:00,20:33,0,0,,48,51,3,33,,mayfisc01
15,Cal Clutterbuck,32,RW,21,2,2,4,5,18,2,0,0,0,2,0,0,24,8.3,40,285:36:00,13:36,3,4,42.9,15,92,5,3,,cluttca01
16,Andy Greene,37,D,21,2,2,4,2,12,2,0,0,1,2,0,0,12,16.7,41,371:08:00,17:40,0,0,,47,26,3,21,,greenan01
17,Leo Komarov,33,C,17,1,2,3,1,4,1,0,0,1,2,0,0,18,5.6,24,205:35:00,12:06,1,6,14.3,19,79,3,8,,komarle01
18,Casey Cizikas,28,C,18,0,2,2,0,8,0,0,0,0,2,0,0,16,0,27,253:17:00,14:04,80,108,42.6,12,54,6,7,,cizikca01
19,Tom Kühnhackl,28,RW,3,0,1,1,2,0,0,0,0,0,1,0,0,1,0,2,27:59:00,9:20,0,0,,1,3,1,1,,kuhnhto01
20,Andrew Ladd,34,LW,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,,1,11:50,11:50,0,0,,1,5,0,0,,laddan01
21,Ross Johnston,25,LW,5,0,0,0,1,12,0,0,0,0,0,0,0,2,0,5,45:54:00,9:11,0,0,,2,23,1,1,,johnsro02
22,Thomas Greiss,34,G,4,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,178:07:00,44:32:00,0,0,,0,0,0,1,,greisth01
23,Noah Dobson,20,D,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,3,12:55,12:55,0,0,,0,3,0,2,,dobsono01
24,Michael Dal Colle,23,LW,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,29:58:00,9:59,0,0,,1,5,1,1,,dalcomi01
25,Johnny Boychuk,36,D,3,0,0,0,1,0,0,0,0,0,0,0,0,4,0,4,32:48:00,10:56,0,0,,9,6,0,1,,boychjo01
26,Semyon Varlamov,31,G,20,0,0,0,0,2,0,0,0,0,0,0,0,0,,0,1232:44:00,61:38:00,0,0,,0,0,0,12,,varlasi01
,Team Totals,,,22,66,104,170,75,208,53,12,1,13,79,24,1,659,10,1284,8393:48:00,19:59,646,652,49.8,456,958,147,310,,-9999
