Rk,Player,Age,Pos,GP,G,A,PTS,+/-,PIM,EVG,PPG,SHG,GWG,EV,PP,SH,SOG,SPCT,TSA,TOI,ATOI,FOW,FOL,FO%,BLK,HIT,TAKE,GIVE,Awards,-9999
1,Nikita Kucherov ('21),27,RW,23,8,24,32,6,14,4,4,0,0,9,15,0,62,12.9,115,420:45:00,18:18,0,0,,4,18,12,15,,kucheni01
2,Brayden Point ('21),24,C,23,14,9,23,7,8,7,7,0,3,4,5,0,49,28.6,83,435:12:00,18:55,140,128,52.2,5,21,13,10,,pointbr01
3,Steven Stamkos,30,C,23,8,10,18,0,4,3,5,0,2,3,7,0,43,18.6,90,365:06:00,15:52,100,88,53.2,13,47,6,9,,stamkst01
4,Victor Hedman,30,D,23,2,16,18,1,8,0,2,0,0,5,11,0,55,3.6,96,568:10:00,24:42:00,0,0,,48,21,11,27,,hedmavi01
5,Alex Killorn,31,C,19,8,9,17,-1,6,4,4,0,0,4,4,1,39,20.5,60,333:07:00,17:32,1,0,100,5,36,6,13,,killoal01
6,Ondřej Palát ('21),29,LW,23,5,8,13,8,10,5,0,0,2,8,0,0,42,11.9,75,375:38:00,16:20,3,16,15.8,23,68,8,14,,palaton01
7,Anthony Cirelli,23,C,23,5,7,12,9,20,5,0,0,1,4,2,1,41,12.2,66,389:49:00,16:57,92,97,48.7,13,68,12,10,,cirelan01
8,Blake Coleman ('21),29,C,23,3,8,11,5,22,2,0,1,1,8,0,0,45,6.7,73,371:45:00,16:10,1,0,100,16,83,14,9,,colembl01
9,Erik Černák,23,D,21,1,9,10,12,16,1,0,0,0,9,0,0,36,2.8,50,418:55:00,19:57,0,0,,26,65,6,6,,cernaer01
10,Ryan McDonagh,31,D,23,0,8,8,18,14,0,0,0,0,7,0,1,23,0,47,525:03:00,22:50,0,0,,46,53,12,21,,mcdonry01
11,Tyler Johnson,30,C,23,4,3,7,3,0,4,0,0,1,3,0,0,34,11.8,55,232:13:00,10:06,48,55,46.6,6,33,4,5,,johnsty01
12,Yanni Gourde ('21),29,C,23,6,1,7,4,13,5,0,1,2,0,0,1,45,13.3,71,404:38:00,17:36,140,160,46.7,10,27,18,10,,gourdya01
13,Barclay Goodrow ('21),27,RW,18,2,4,6,4,26,2,0,0,1,4,0,0,29,6.9,51,307:38:00,17:05,52,78,40,13,68,7,8,,goodrba01
14,Ross Colton,24,C,23,4,2,6,4,12,4,0,0,1,2,0,0,32,12.5,55,235:20:00,10:14,22,23,48.9,12,46,3,6,,coltoro01
15,David Savard,30,D,20,0,5,5,0,6,0,0,0,0,5,0,0,18,0,37,282:24:00,14:07,0,0,,19,47,2,5,,savarda01
16,Pat Maroon,32,LW,23,2,2,4,2,37,2,0,0,1,2,0,0,26,7.7,35,216:32:00,9:25,3,0,100,4,37,3,3,,maroopa01
17,Jan Rutta,30,D,23,2,1,3,3,8,2,0,0,1,1,0,0,24,8.3,43,325:25:00,14:09,0,0,,16,25,7,11,,ruttaja02
18,Mikhail Sergachev,22,D,23,0,3,3,0,18,0,0,0,0,3,0,0,28,0,68,502:47:00,21:52,0,0,,45,58,8,21,,sergami01
19,Mathieu Joseph,23,RW,6,0,2,2,0,0,0,0,0,0,2,0,0,4,0,10,51:25:00,8:34,1,5,16.7,3,22,2,1,,josepma01
20,Luke Schenn,31,D,8,1,0,1,1,9,1,0,0,0,0,0,0,5,20,17,73:51:00,9:14,0,0,,4,20,0,3,,schenlu01
21,Andrei Vasilevskiy,26,G,23,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1389:33:00,60:25:00,0,0,,0,0,6,13,Smythe-1,vasilan02
,Team Totals,,,23,75,131,206,86,257,51,22,2,16,83,44,4,680,11,1197,8225:16:00,18:49,603,650,48.1,331,863,160,220,,-9999
