Rk,Player,Age,Pos,GP,CF,CA,CF%,CF% rel,FF,FA,FF%,FF% rel,oiSH%,oiSV%,PDO,oZS%,dZS%,TOI/60,TOI(EV),TK,GV,E+/-,SAtt.,Thru%,-9999
6,Yanni Gourde,29,C,23,289,298,49.2,2.5,218,213,50.6,3.5,5.6,95.5,101.1,42.6,57.4,17:36,15:19,18,10,,71,63.4,gourdya01
5,Barclay Goodrow,27,RW,18,207,228,47.6,-0.9,151,165,47.8,-1.7,7.5,96.5,104,49.4,50.6,17:05,14:56,7,8,,51,56.9,goodrba01
5,Blake Coleman,28,C,25,383,308,55.4,-0.2,261,206,55.9,0.2,7.9,93.7,101.6,42.6,57.4,17:53,15:18,13,12,,113,57.5,colembl01
6,Barclay Goodrow,26,RW,25,377,317,54.3,-1.7,259,209,55.3,-0.5,8.3,93.2,101.5,44.1,55.9,18:15,15:20,13,9,,57,56.1,goodrba01
7,Yanni Gourde,28,C,25,409,313,56.6,1.4,277,214,56.4,0.9,9.9,94.7,104.6,43.2,56.8,18:19,15:52,16,10,,90,60,gourdya01
6,J.T. Compher,26,LW,70,816,866,48.5,-5.2,587,644,47.7,-4.9,10.7,92.1,102.8,44.5,55.5,16:19,12:50,26,18,-4.4,199,51.3,comphj.01
3,Blake Coleman,29,C,23,270,291,48.1,1,207,207,50,2.7,7.3,95.4,102.6,46.1,53.9,16:10,14:12,14,9,,73,61.6,colembl01
1,Nicolas Aubé-Kubel,25,RW,67,551,578,48.8,-4.4,406,438,48.1,-4.1,8.9,95.2,104.1,38.4,61.6,9:49,9:41,17,18,2.5,140,55.7,aubekni01
3,André Burakovsky,26,LW,80,1274,1026,55.4,3.7,934,791,54.1,3.3,11,89.4,100.5,57.1,42.9,16:16,14:11,28,39,5.3,313,47.6,burakan01
17,Nicolas Roy,25,C,22,226,278,44.8,-1.4,172,187,47.9,0.7,11.7,91.9,103.6,35.5,64.5,15:01,12:17,15,10,,55,67.3,royni01
9,William Karlsson,30,C,22,287,293,49.5,4.7,214,203,51.3,5.3,11.9,95.5,107.3,45.9,54.1,17:21,13:29,24,14,,75,60,karlswi01
18,Reilly Smith,31,RW,22,261,302,46.4,0.5,193,210,47.9,0.7,10.4,96.4,106.8,45.5,54.5,16:46,12:58,17,16,,74,68.9,smithre01
11,Eetu Luostarinen,25,C,24,325,277,54,-1.1,208,194,51.7,-2.6,8.8,93.1,101.9,50.7,49.3,15:18,12:44,17,10,,67,40.3,luostee01
10,Anton Lundell,22,C,24,383,314,54.9,0.2,258,218,54.2,0.7,11.7,92.9,104.6,51.4,48.6,16:12,13:28,15,19,,87,33.3,lundean01
18,Vladimir Tarasenko,32,RW,24,319,266,54.5,-0.4,220,188,53.9,0.3,8.3,94.1,102.5,53.1,46.9,13:22,11:32,3,14,,87,54,tarasvl01
